[10/04/22 18:49:05] [INFO] received Windows console close event; shutting log-core down
[10/04/22 18:55:54] [INFO] received Windows console close event; shutting log-core down
[10/04/22 19:18:25] [INFO] received Windows console close event; shutting log-core down
[10/04/22 19:35:46] [INFO] received Windows console close event; shutting log-core down
[10/04/22 20:58:39] [INFO] received Windows console close event; shutting log-core down
[10/04/22 21:29:29] [INFO] received Windows console close event; shutting log-core down
[10/04/22 21:29:30] [INFO] received Windows console close event; shutting log-core down
[10/04/22 21:40:29] [INFO] received Windows console close event; shutting log-core down
[10/04/22 21:41:32] [INFO] received Windows console close event; shutting log-core down
[10/04/22 21:48:56] [INFO] received Windows console close event; shutting log-core down
[10/04/22 21:55:42] [INFO] received Windows console close event; shutting log-core down
[10/04/22 21:56:14] [INFO] received Windows console close event; shutting log-core down
[10/04/22 21:58:17] [INFO] received Windows console close event; shutting log-core down
[10/04/22 22:07:01] [INFO] received Windows console close event; shutting log-core down
[10/04/22 23:17:40] [INFO] received Windows console close event; shutting log-core down
[10/05/22 11:33:00] [INFO] received Windows console close event; shutting log-core down
[10/05/22 11:38:23] [INFO] received Windows console close event; shutting log-core down
[10/05/22 11:41:31] [INFO] received Windows console close event; shutting log-core down
[10/05/22 11:43:56] [INFO] received Windows console close event; shutting log-core down
[10/05/22 11:52:12] [INFO] received Windows console close event; shutting log-core down
[10/05/22 12:29:18] [INFO] received Windows console close event; shutting log-core down
[10/05/22 12:46:06] [INFO] received Windows console close event; shutting log-core down
[10/05/22 12:58:35] [INFO] received Windows console close event; shutting log-core down
[10/05/22 13:20:02] [INFO] received Windows console close event; shutting log-core down
[10/05/22 14:27:10] [INFO] received Windows console close event; shutting log-core down
[10/05/22 17:22:32] [INFO] received Windows console close event; shutting log-core down
[10/05/22 17:31:29] [INFO] received Windows console close event; shutting log-core down
[10/05/22 19:25:38] [INFO] received Windows console close event; shutting log-core down
[10/05/22 19:29:09] [INFO] received Windows console close event; shutting log-core down
[10/05/22 19:36:51] [INFO] received Windows console close event; shutting log-core down
[10/05/22 20:51:21] [INFO] received Windows console close event; shutting log-core down
[10/05/22 20:53:11] [INFO] received Windows console close event; shutting log-core down
[10/05/22 20:54:30] [INFO] received Windows console close event; shutting log-core down
[10/05/22 21:01:29] [INFO] received Windows console close event; shutting log-core down
[10/05/22 21:08:16] [INFO] received Windows console close event; shutting log-core down
[10/05/22 21:09:36] [INFO] received Windows console close event; shutting log-core down
[10/05/22 21:09:43] [INFO] received Windows console close event; shutting log-core down
[10/05/22 21:12:13] [INFO] received Windows console close event; shutting log-core down
